"id","type","hostname","fqdn","probe","is_ipv4_only","ip_v4","as_v4","ip_v6","as_v6","city","country","company","nic_handle","geometry_type","latitude","longitude","tlsa_record","is_disabled","date_live","date_decommissioned","hardware_version","geom"
2002,"Anchor","sg-jur-as15169","sg-jur-as15169.anchors.atlas.ripe.net",6701,True,"35.187.225.53",15169,NULL,NULL,"Jurong/Singapore","SG","Google","","Point","1.3403898","103.7089875","",False,"2019-12-31 20:20:00",NULL,99,"0101000020E610000076711B0D60ED59408E452E933C72F53F"
2003,"Anchor","au-syd-as15169","au-syd-as15169.anchors.atlas.ripe.net",6688,True,"35.189.34.243",15169,NULL,NULL,"Sydney","AU","Google","","Point","-33.8688197","151.2092955","",False,"2019-12-13 10:20:00",NULL,99,"0101000020E610000066F6798CB2E662406ECFE27B35EF40C0"
2004,"Anchor","fi-hmn-as15169","fi-hmn-as15169.anchors.atlas.ripe.net",6707,True,"35.228.29.222",15169,NULL,NULL,"Hamina","FI","Google","","Point","60.5693374","27.1878317","",False,"2020-01-02 15:31:47",NULL,99,"0101000020E6100000EFA600BD15303B40E1B1440CE0484E40"
2005,"Anchor","be-ghi-as15169","be-ghi-as15169.anchors.atlas.ripe.net",6712,True,"35.241.249.92",15169,NULL,NULL,"Saint-Ghislain","BE","Google","","Point","50.4491086","3.8183757","",False,"2020-01-04 00:20:01",NULL,99,"0101000020E610000096BA1A8F088C0E401AADFE637C394940"
2006,"Anchor","br-sao-as15169","br-sao-as15169.anchors.atlas.ripe.net",6711,True,"35.198.9.221",15169,NULL,NULL,"São Paulo","BR","Google","","Point","-23.5505199","-46.6333094","",False,"2020-01-03 18:20:01",NULL,99,"0101000020E6100000EC9F4C48105147C0154C46DFEE8C37C0"
2007,"Anchor","uk-lon-as15169","uk-lon-as15169.anchors.atlas.ripe.net",6699,True,"35.234.152.175",15169,NULL,NULL,"London","GB","Google","","Point","51.5073509","-0.1277583","",False,"2019-12-31 06:20:00",NULL,99,"0101000020E61000008072254C625AC0BF4F8CD1DFF0C04940"
2008,"Anchor","de-fra-as15169","de-fra-as15169.anchors.atlas.ripe.net",6708,True,"34.89.240.90",15169,NULL,NULL,"Frankfurt","DE","Google","","Point","50.1109221","8.6821267","",False,"2020-01-02 22:20:01",NULL,99,"0101000020E6100000F174F8B53F5D2140ABF303B2320E4940"
2009,"Anchor","nl-eem-as15169","nl-eem-as15169.anchors.atlas.ripe.net",6702,True,"35.204.192.123",15169,NULL,NULL,"Eemshaven","NL","Google","","Point","53.4385887","6.8354937","",False,"2020-01-01 02:20:01",NULL,99,"0101000020E61000005F0E16A98B571B409472ADAC23B84A40"
2010,"Anchor","ch-zrh-as15169","ch-zrh-as15169.anchors.atlas.ripe.net",6709,True,"34.65.57.27",15169,NULL,NULL,"Zürich","CH","Google","","Point","47.3768866","8.541694","",False,"2020-01-03 06:20:00",NULL,99,"0101000020E6100000FCE07CEA581521407BA6F2D13DB04740"
2011,"Anchor","ca-mtr-as15169","ca-mtr-as15169.anchors.atlas.ripe.net",6710,True,"35.203.43.169",15169,NULL,NULL,"Montréal","CA","Google","","Point","45.5016889","-73.567256","",False,"2020-01-03 12:20:00",NULL,99,"0101000020E61000006D1D1CEC4D6452C01322855737C04640"
2012,"Anchor","us-lax-as15169","us-lax-as15169.anchors.atlas.ripe.net",6697,True,"34.94.50.16",15169,NULL,NULL,"Los Angeles","US","Google","","Point","34.0522342","-118.2436849","",False,"2019-12-30 16:20:00",NULL,99,"0101000020E6100000DC018D88988F5DC0CA5D3A9CAF064140"
2013,"Anchor","pt-lis-as39384","pt-lis-as39384.anchors.atlas.ripe.net",6667,False,"185.118.112.5",39384,"2a0d:3b80:cafe::ffff:b976:7005",39384,"Lisbon","PT","Dream Fusion - IT Services, Lda","","Point","38.7222524","-9.1393366","",False,"2019-11-25 10:20:00",NULL,2,"0101000020E61000008C457820574722C090BA42C4725C4340"
2014,"Anchor","ua-riv-as50392","ua-riv-as50392.anchors.atlas.ripe.net",6677,False,"193.106.144.26",50392,"2a00:fc00:e000:2::26",50392,"Rivne","UA","LLC Campus Networks","","Point","50.6199","26.251617","",True,"2019-11-30 14:20:36","2023-02-08 12:38:13.512642",99,"0101000020E61000001D1EC2F869403A402C6519E2584F4940"
2018,"Anchor","sg-sin-as24482","sg-sin-as24482.anchors.atlas.ripe.net",6676,False,"203.175.175.206",24482,"2405:4200:100:10::206",24482,"Singapore","SG","SG.GS Pte Ltd","","Point","1.3233821","103.9206987","",False,"2019-11-30 02:20:22",NULL,99,"0101000020E6100000107E3DBAECFA5940F0C979B5922CF53F"
2019,"Anchor","fr-grv-as16276","fr-grv-as16276.anchors.atlas.ripe.net",6696,False,"145.239.14.84",16276,"2001:41d0:302:1100::306",16276,"Gravelines, France","FR","OVHcloud","","Point","51.017328","2.156876","",False,"2019-12-27 10:20:00",NULL,99,"0101000020E6100000E7374C34484101400DA7CCCD37824940"
